"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","52/1182","471/20408",6.16132017838363e-06,0.000921185825781445,0.000797152325301517,"PRKAA2/PGM1/PFKFB2/MDH1/SUCLG1/FASTKD1/SLC25A12/NDUFB3/NDUFS1/MDH1B/FASTKD2/IDH1/UQCRC1/BDH1/PPARGC1A/SNCA/ETFDH/SLC25A4/NNT/MLXIPL/PDHA1/PHKA1/ABCD1/GSR/RB1CC1/UQCRB/COX6C/NDUFB9/CYC1/NR4A3/IGF2/ME3/DLAT/PFKP/OGDHL/AIFM2/GPD1/COQ10A/ACSS3/ALDH2/C15orf48/IDH3A/CYBA/COX10/NOS2/ALDOC/ME2/GIPR/NDUFA3/CHCHD10/ACO2/ND1",52
"GO:0043209","CC","GO:0043209","myelin sheath","25/1182","162/20408",6.90367023155401e-06,0.000957341436121155,0.000828439746414999,"MPZ/ATP1B1/NFASC/MDH1/SLC25A12/HSPD1/NDUFS1/UQCRC1/SLC25A4/PDHA1/NEFL/PMP2/CA13/CA2/DNM1/ASS1/KCNJ11/DLAT/CNTN1/CKB/IDH3A/MBP/EEF1A2/TUBB4A/ACO2",25
"GO:0060627","BP","GO:0060627","regulation of vesicle-mediated transport","54/1182","498/20408",6.95855229925214e-06,0.000957341436121155,0.000828439746414999,"RAB3B/SYT11/PTPRC/AAK1/MERTK/CDK5R2/ACSL3/STXBP5L/P2RY1/CPLX1/SNCA/F2RL1/PCLO/SYP/OPHN1/SYTL4/IL13RA2/RIMS2/RNF139/ARC/SYK/DNM1/NR1H3/SYT7/EXPH5/CBL/SORL1/GAS6/PRKD1/RAB27A/CHRNA5/BAIAP3/RAB26/DOC2A/CYBA/RPH3AL/DLG4/SLC2A4/SPACA3/ITGB3/UNC13D/PTPN1/ABCA7/STXBP2/RAB3A/CD22/CLIP3/TGFB1/APOE/APOC1/SLC17A7/PRKCG/SYT5/SYNJ1",54
"GO:0016999","BP","GO:0016999","antibiotic metabolic process","24/1182","152/20408",7.01705399515231e-06,0.000957341436121155,0.000828439746414999,"MDH1/SUCLG1/MDH1B/IDH1/SNCA/GHR/NNT/PDHA1/RENBP/ST3GAL1/HBE1/PRDX5/ME3/DLAT/OGDHL/AMDHD1/ALDH2/PCK2/IDH3A/HBQ1/SULT1A1/CYBA/ME2/ACO2",24
"GO:0042391","BP","GO:0042391","regulation of membrane potential","48/1182","424/20408",7.10768455690535e-06,0.000957341436121155,0.000828439746414999,"GABRD/KCNJ10/ATP1B1/KCNH1/SLC8A1/SCN1A/NDUFS1/KCNE4/SCN5A/SNCA/NNT/HCN1/KCNN2/GABRG2/PPP1R9A/KCNH2/ABCD1/BNIP3L/RIMS2/KCNQ3/GRIN1/CACNA1B/KCNQ1/KCNJ11/SHANK2/UCP2/BCO2/HTR3B/SCN3B/IGSF9B/ANK3/GOT1/GRIN2B/PKP2/DCN/GABRG3/CHRNA5/ABAT/DLG4/CHRNB1/ATP1B2/MPP2/DSG2/HCN2/ATP1A3/TRPM4/SLC17A7/SHANK1",48
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process","47/1182","412/20408",7.20315495781867e-06,0.000957341436121155,0.000828439746414999,"RIMKLA/PRKAA2/PGM1/ATP2B4/PFKFB2/ABHD1/SLC25A12/PECR/CYP27A1/ACSL3/HYAL1/MGLL/PPARGC1A/SCD5/MGST2/HPGD/ELOVL7/ACOT12/FGFR4/HSD17B8/MLXIPL/TBXAS1/GLUD2/ABCD1/RDH10/FABP5/HAS2/SYK/ASS1/NR1H3/FOLH1/FGF19/NAALAD2/PFKP/OGDHL/GOT1/SCD/ELOVL3/GPD1/DCN/SLC27A2/ABAT/ALOX12B/ALDOC/TGFB1/APOC1/GGT1",47
"GO:0048488","BP","GO:0048488","synaptic vesicle endocytosis","13/1182","53/20408",7.4052293290612e-06,0.000957341436121155,0.000828439746414999,"KIAA1107/SYT11/SNCA/SNCB/SYP/OPHN1/DNM1/SYT7/SYT17/SLC2A4/SLC17A7/SYT5/SYNJ1",13
"GO:0140238","BP","GO:0140238","presynaptic endocytosis","13/1182","53/20408",7.4052293290612e-06,0.000957341436121155,0.000828439746414999,"KIAA1107/SYT11/SNCA/SNCB/SYP/OPHN1/DNM1/SYT7/SYT17/SLC2A4/SLC17A7/SYT5/SYNJ1",13
"GO:0097485","BP","GO:0097485","neuron projection guidance","34/1182","260/20408",7.63676994399034e-06,0.000957341436121155,0.000828439746414999,"RAP1GAP/ZSWIM5/NFASC/DPYSL5/KIF5C/CHN1/EPHA4/GPC1/SEMA3F/ROBO2/ALCAM/SEMA5A/EMB/CYFIP2/EPHA7/SEMA3C/SEMA3A/OPHN1/UNC5D/PTK2/VLDLR/NR4A3/UNC5B/SLIT1/SEMA4G/DPYSL4/KIF5A/SPTB/DOK4/EFNB3/GRB7/EFNA2/NRTN/SPTBN4",34
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process","47/1182","413/20408",7.68377490346944e-06,0.000957341436121155,0.000828439746414999,"RIMKLA/PRKAA2/PGM1/ATP2B4/PFKFB2/ABHD1/SLC25A12/PECR/CYP27A1/ACSL3/HYAL1/MGLL/PPARGC1A/SCD5/MGST2/HPGD/ELOVL7/ACOT12/FGFR4/HSD17B8/MLXIPL/TBXAS1/GLUD2/ABCD1/RDH10/FABP5/HAS2/SYK/ASS1/NR1H3/FOLH1/FGF19/NAALAD2/PFKP/OGDHL/GOT1/SCD/ELOVL3/GPD1/DCN/SLC27A2/ABAT/ALOX12B/ALDOC/TGFB1/APOC1/GGT1",47
"GO:0098659","BP","GO:0098659","inorganic cation import across plasma membrane","16/1182","78/20408",8.27192723946932e-06,0.000993812972627671,0.000860000555667384,"KCNJ10/ATP1B1/ATP2B4/SLC8A1/SLC39A8/SLC12A7/SLC39A14/SLC39A4/SLC31A1/KCNJ11/ATP12A/ATP1B2/SLC39A6/HCN2/ATP1A3/TRPM4",16
"GO:0099587","BP","GO:0099587","inorganic ion import across plasma membrane","16/1182","78/20408",8.27192723946932e-06,0.000993812972627671,0.000860000555667384,"KCNJ10/ATP1B1/ATP2B4/SLC8A1/SLC39A8/SLC12A7/SLC39A14/SLC39A4/SLC31A1/KCNJ11/ATP12A/ATP1B2/SLC39A6/HCN2/ATP1A3/TRPM4",16
"GO:0015893","BP","GO:0015893","drug transport","30/1182","217/20408",8.58579438467632e-06,0.00101342499333513,0.000876971906586236,"RAB3B/SYT11/KCNJ10/SLC19A2/SLC25A12/SNCA/SLC7A11/SLC25A4/ABCB4/ABCB1/SLC7A2/CA2/SLC52A2/SLC1A1/SLC31A1/SLC22A18/HBE1/SYT13/SYT7/SLC36A4/CUBN/AQP5/HBQ1/ABAT/SYT17/ABCA8/RTBDN/SLC25A42/SLC17A7/SYT5",30
"GO:0005261","MF","GO:0005261","cation channel activity","39/1182","320/20408",9.29654348804114e-06,0.00107839904461277,0.00093319749605001,"KCNJ10/KCNH1/SCN1A/SLC40A1/KCNE4/SCN5A/CACNA2D2/TRPC3/HCN1/KCNN2/PKD1L1/KCNH2/JPH1/CNGB3/KCNQ3/KCNK9/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/PDE2A/HTR3B/GRIK4/SCN3B/GRIN2B/GAS6/KCNK13/NOX5/CHRNA5/KCNG4/CHRNB1/TRPV2/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/CACNG7",39
"GO:0070382","CC","GO:0070382","exocytic vesicle","28/1182","197/20408",1.00137705386773e-05,0.00114190929125799,0.000988156375547269,"RAB3B/KIAA1107/SYT11/SLC40A1/WFS1/SNCA/NKD2/ICA1/SYTL5/SYP/SYTL4/DNM1/GRIN1/SYT13/SYT7/RAB27A/SYNGR3/RAB26/SYT17/DOC2A/DLG4/UNC13D/SYNGR2/UNC13A/RAB3A/SLC17A7/SYT5/BRSK1",28
"GO:0001505","BP","GO:0001505","regulation of neurotransmitter levels","41/1182","346/20408",1.1007767691575e-05,0.00121610713078897,0.0010523638119397,"RAB3B/SYT11/KCNJ10/ATP2B4/STXBP5L/P2RY1/BCHE/CPLX1/SNCA/SLC7A11/RNF180/PCLO/PPP1R9A/SYP/SLC7A2/RIMS2/SLC1A1/JAK2/ASS1/CACNA1B/SYT13/SYT7/NRXN2/SLC29A2/CHKA/NAALAD2/RORA/CHRNA5/BAIAP3/ABAT/SYT17/DOC2A/NOS2/ACP5/UNC13A/RAB3A/SLC17A7/PRKCG/SYT5/BRSK1/SYNJ1",41
"GO:0044282","BP","GO:0044282","small molecule catabolic process","48/1182","431/20408",1.1025941584145e-05,0.00121610713078897,0.0010523638119397,"PGM1/ATP2B4/PFKFB2/ABHD1/SLC25A12/HIBCH/PECR/HYAL1/EHHADH/BDH1/NUDT9/ETFDH/AADAT/ENPP4/UPP1/GLUD2/ABCD1/RENBP/ADHFE1/IMPA1/DECR1/AUH/CRAT/ASRGL1/PFKP/PHYH/CUBN/ENTPD1/GOT1/AMDHD1/ALDH2/PCK2/SLC27A2/ECI1/ABAT/SULT1A1/LDHD/NOS2/ALDOC/ACAA2/PLIN5/TGFB1/APOE/CPT1C/INPP5J/APOBEC3F/APOBEC3G/SYNJ1",48
"GO:0009060","BP","GO:0009060","aerobic respiration","16/1182","80/20408",1.16238546993951e-05,0.00126137571641177,0.0010915371874763,"MDH1/SUCLG1/MDH1B/IDH1/UQCRC1/NNT/PDHA1/UQCRB/ME3/DLAT/OGDHL/IDH3A/COX10/ME2/ACO2/ND1",16
"GO:0055081","BP","GO:0055081","anion homeostasis","13/1182","56/20408",1.41443124753464e-05,0.00151052276720842,0.00130713771597562,"PRKAA2/SLC7A11/SLC12A7/FGFR4/MLXIPL/ABCD1/DGAT1/ABCA1/GOT1/CKB/SLC9A3R1/APOE/RCN3",13
"GO:0006836","BP","GO:0006836","neurotransmitter transport","34/1182","268/20408",1.46758526125032e-05,0.00154279900588939,0.00133506810525913,"RAB3B/SYT11/KCNJ10/SLC25A12/STXBP5L/P2RY1/CPLX1/SNCA/SLC7A11/ICA1/PCLO/PPP1R9A/SYP/RIMS2/SLC1A1/SYK/CACNA1B/SYT13/SYT7/NRXN2/SLC29A2/CHRNA5/BAIAP3/ABAT/SYT17/DOC2A/UNC13A/RAB3A/SLC6A16/SLC17A7/PRKCG/SYT5/BRSK1/SYNJ1",34
"GO:0036465","BP","GO:0036465","synaptic vesicle recycling","14/1182","65/20408",1.67372900690344e-05,0.00173243827053021,0.00149917330156809,"KIAA1107/SYT11/SNCA/SNCB/SYP/OPHN1/DNM1/SYT7/SYT17/SLC2A4/RAB3A/SLC17A7/SYT5/SYNJ1",14
"GO:0019935","BP","GO:0019935","cyclic-nucleotide-mediated signaling","29/1182","214/20408",1.77271110174567e-05,0.00179067737399812,0.00154957077345009,"GPR3/ADGRL2/GPR161/ATP2B4/PDE11A/UCN2/ADCY5/ADCY2/ADGRB3/PCLO/RIMS2/ADGRB1/ABCA1/ADM/PDE3B/PDE2A/PRKG1/PDE3A/ADCY7/ADGRG1/PRKAR1A/SLC9A3R1/TBXA2R/ADGRE1/ADGRE5/APOE/GIPR/ADM2/PDE9A",29
"GO:0007411","BP","GO:0007411","axon guidance","33/1182","259/20408",1.78322509003975e-05,0.00179067737399812,0.00154957077345009,"RAP1GAP/ZSWIM5/NFASC/DPYSL5/KIF5C/CHN1/EPHA4/GPC1/SEMA3F/ROBO2/ALCAM/SEMA5A/EMB/CYFIP2/EPHA7/SEMA3C/SEMA3A/OPHN1/UNC5D/PTK2/VLDLR/NR4A3/UNC5B/SLIT1/SEMA4G/KIF5A/SPTB/DOK4/EFNB3/GRB7/EFNA2/NRTN/SPTBN4",33
"GO:0043648","BP","GO:0043648","dicarboxylic acid metabolic process","19/1182","112/20408",2.20845738957327e-05,0.00218507372309544,0.00189086343989625,"NMNAT2/MDH1/SUCLG1/SLC25A12/MDH1B/IDH1/NMNAT3/SLC7A11/AADAT/GHR/GLUD2/ADHFE1/ASS1/ME3/PHYH/GOT1/AMDHD1/ME2/GGT1",19
"GO:0030133","CC","GO:0030133","transport vesicle","43/1182","381/20408",2.26311391963311e-05,0.00220670006540457,0.0019095778931336,"RAB3B/KIAA1107/SORT1/OVGP1/SYT11/MCFD2/SLC40A1/PTPRN/WFS1/USO1/SNCA/CPE/NKD2/FGFR4/HLA-DQB1/HLA-DPA1/ARFGEF3/ICA1/SYTL5/SYP/SYTL4/NCALD/DNM1/GRIN1/SYT13/SYT7/SIPA1/RAB27A/SYNGR3/RAB26/SYT17/DOC2A/RPH3AL/DLG4/SLC2A4/UNC13D/SYNGR2/LMAN1/UNC13A/RAB3A/SLC17A7/SYT5/BRSK1",43
"GO:0099504","BP","GO:0099504","synaptic vesicle cycle","27/1182","195/20408",2.31311496704866e-05,0.00220920859480173,0.00191174866040559,"RAB3B/KIAA1107/SYT11/STXBP5L/P2RY1/PLD1/CPLX1/SNCA/SNCB/PCLO/SYP/OPHN1/RIMS2/DNM1/SYT13/SYT7/CHRNA5/SYT17/DOC2A/SLC2A4/UNC13A/RAB3A/SLC17A7/PRKCG/SYT5/BRSK1/SYNJ1",27
"GO:0016042","BP","GO:0016042","lipid catabolic process","38/1182","321/20408",2.33135865384844e-05,0.00220920859480173,0.00191174866040559,"SMPDL3B/ABHD1/HIBCH/IDH1/PECR/PLCD4/PLCD1/MGLL/PLCH1/PLD1/NCEH1/EHHADH/SPP1/MGST2/ETFDH/GM2A/STS/ABCD1/FABP5/DECR1/AUH/CRAT/PDE3B/BCO2/PHYH/PNLIPRP3/PCK2/SLC27A2/ECI1/CES3/BCO1/SPHK1/ACAA2/PLCB4/PLIN5/APOE/APOC1/CPT1C",38
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","36/1182","298/20408",2.45102809099323e-05,0.0022903495828059,0.0019819643817666,"TP73/GPR161/ERBB4/EPHA4/SEMA3F/ROBO2/CHRD/NKX6-1/SPP1/SEMA5A/FSTL4/KIAA0319/EPHA7/SEMA3C/SEMA3A/PTK2/CEND1/SORL1/ZNF365/NRG3/SLIT1/SEMA4G/FUOM/DTX1/LINGO1/ADGRG1/RAP1GAP2/KCTD11/EFNB3/NGFR/JAG1/NOTCH3/TGFB1/APOE/RTN4R/INPP5J",36
"GO:0048489","BP","GO:0048489","synaptic vesicle transport","23/1182","154/20408",2.72248231823337e-05,0.00245422198601919,0.0021237721078716,"SYT11/KIF5C/STXBP5L/P2RY1/CPLX1/SNCA/PCLO/SYP/RIMS2/DNM1/SYT13/SYT7/KIF5A/RAB27A/CHRNA5/SYT17/DOC2A/SLC2A4/UNC13A/RAB3A/PRKCG/SYT5/SYNJ1",23
"GO:0097480","BP","GO:0097480","establishment of synaptic vesicle localization","23/1182","154/20408",2.72248231823337e-05,0.00245422198601919,0.0021237721078716,"SYT11/KIF5C/STXBP5L/P2RY1/CPLX1/SNCA/PCLO/SYP/RIMS2/DNM1/SYT13/SYT7/KIF5A/RAB27A/CHRNA5/SYT17/DOC2A/SLC2A4/UNC13A/RAB3A/PRKCG/SYT5/SYNJ1",23
"GO:0034703","CC","GO:0034703","cation channel complex","29/1182","219/20408",2.74900035070356e-05,0.00245422198601919,0.0021237721078716,"KCNH1/SCN1A/KCNE4/SCN5A/CACNA2D2/TRPC3/HCN1/PKD1L1/KCNH2/KCNQ3/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/HTR3B/GRIK4/SCN3B/GRIN2B/KCNG4/DLG4/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/CPT1C/SHANK1/CACNG7",29
"GO:0004012","MF","GO:0004012","phospholipid-translocating ATPase activity","8/1182","23/20408",2.77230783200741e-05,0.00245422198601919,0.0021237721078716,"ATP8A1/ATP10D/ABCB4/ABCB1/ABCA1/ATP8B4/ABCA7/ATP8B3",8
"GO:0097479","BP","GO:0097479","synaptic vesicle localization","24/1182","165/20408",2.86738493500155e-05,0.00250542413541434,0.0021680801196847,"SYT11/KIF5C/STXBP5L/P2RY1/CPLX1/SNCA/PCLO/SYP/RIMS2/DNM1/SYT13/SYT7/KIF5A/RAB27A/CHRNA5/SYT17/DOC2A/SLC2A4/UNC13A/RAB3A/PRKCG/SYT5/BRSK1/SYNJ1",24
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","51/1182","488/20408",3.3555452946075e-05,0.00289437291565631,0.00250465870775628,"PRKAA2/PGM1/ATP1B1/PFKFB2/SUCLG1/SULT1C2/SLC25A12/NDUFB3/NDUFS1/ACSL3/UQCRC1/ADCY5/PPARGC1A/SCD5/NUDT9/SNCA/AADAT/ACSL1/ADCY2/ELOVL7/ACOT12/NME5/MLXIPL/PDHA1/ABCD1/GPAT4/UQCRB/NDUFB9/CYC1/DGAT1/ADM/PDE2A/DLAT/PFKP/OGDHL/PAPSS2/SCD/ELOVL3/GPD1/RORA/SULT1A1/ADCY7/COX10/ALDOC/PDE4C/TGFB1/SULT2B1/NDUFA3/CHCHD10/PDE9A/ND1",51
"GO:0030258","BP","GO:0030258","lipid modification","35/1182","291/20408",3.4665449313795e-05,0.00295226763269889,0.00255475816328581,"PIK3R3/PLPP3/HIBCH/FAM126B/ERBB4/PECR/EHHADH/PPARGC1A/ETFDH/FGFR4/MET/ABCD1/PLPP5/IMPA1/DECR1/AUH/NR4A3/CRAT/FGF19/PHYH/PIP4K2A/PIK3AP1/KITLG/SLC27A2/ECI1/PIK3R5/SPHK1/ACAA2/PLPP2/PLIN5/APOE/APOC1/CPT1C/INPP5J/SYNJ1",35
"GO:0019838","MF","GO:0019838","growth factor binding","21/1182","137/20408",4.05320038093998e-05,0.00340874152037052,0.00294976990881303,"SORT1/ACVR1C/GPC1/SCN5A/FGFBP2/IGFBP7/NKD2/LIFR/GHR/FSTL4/DUSP1/FGFR4/FLT4/NOV/IL11RA/LTBP3/FGFBP3/IGFBP6/ITGB3/NGFR/COL6A1",21
"GO:0098984","CC","GO:0098984","neuron to neuron synapse","39/1182","342/20408",4.25724785011578e-05,0.00353614364636778,0.00306001791539836,"SYT11/KCNH1/ADD2/ERBB4/EPHA4/ATP2B2/P2RY1/PDLIM5/CTNND2/MAP1B/EPHA7/PCLO/PPP1R9A/CDKL5/FABP5/RNF19A/ADGRB1/ARC/DNM1/GRIN1/SYT7/SHANK2/GRIK4/IGSF9B/CPEB3/CLSTN3/GRIN2B/ANKS1B/CPEB1/HOMER2/DLG4/EFNB3/SRCIN1/MPP2/DLGAP1/PLCB4/SHANK1/PRKCG/CACNG7",39
"GO:0099173","BP","GO:0099173","postsynapse organization","23/1182","159/20408",4.55883967305967e-05,0.00374047235613969,0.00323683468956265,"EPHA4/SEMA3F/PDLIM5/SLC7A11/CTNND2/EPHA7/PPP1R9A/CDKL5/OPHN1/NEFL/ARC/ARHGAP39/NTNG2/NRXN2/SHANK2/ZNF365/GRIN2B/ITPKA/DLG4/CHRNB1/SRCIN1/APOE/SHANK1",23
"GO:0006814","BP","GO:0006814","sodium ion transport","28/1182","215/20408",5.07412406264017e-05,0.00411309719198109,0.00355928727843536,"ATP1B1/ATP2B4/SLC8A1/SCN1A/SCN5A/SLC4A4/HCN1/KLHL3/STOM/SCN3B/ANK3/PKP2/CNTN1/SLC4A8/TESC/ATP12A/SLC38A8/ATP1B2/SLC9A3R1/HCN2/SPTBN4/TGFB1/ATP1A3/SLC8A2/TRPM4/SLC17A7/SLC5A1/SLC5A4",28
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","37/1182","321/20408",5.27739233989827e-05,0.00422693995986137,0.00365780163307986,"ARHGEF16/RAP1GAP/TGFB2/PSD4/ARHGEF4/CHN1/FARP2/ARAP2/SPRY1/PLEKHG4B/TRIO/F2RL1/ARHGAP26/ARFGEF3/MET/OPHN1/ARFGEF1/ARHGAP39/FGD3/ABCA1/RALGPS1/DEPDC7/SIPA1/ARAP1/ARHGAP42/RASGEF1A/KITLG/RASAL1/LPAR6/ADGRG1/RAP1GAP2/ARHGAP23/ARHGAP28/RALGAPA2/PLEKHG2/APOE/RTN4R",37
"GO:0043194","CC","GO:0043194","axon initial segment","7/1182","19/20408",5.84158135548837e-05,0.00459888892848263,0.00397966935719341,"NAV1/NFASC/SCN1A/KCNQ3/ANK3/KCNQ2/SPTBN4",7
"GO:0015711","BP","GO:0015711","organic anion transport","48/1182","460/20408",5.87848465888089e-05,0.00459888892848263,0.00397966935719341,"KCNJ10/SLC19A2/SLC25A12/ACSL3/OSBPL10/ATP8A1/ATP10D/SLC4A4/SNCA/SLC7A11/ACSL1/SLC25A4/EMB/PRELID2/ABCB4/ABCB1/XK/ABCD1/SLC7A2/NCOA2/CA13/CA2/SLC52A2/SLC1A1/SYK/ABCA1/CYB5R2/SLC36A4/SLC37A2/SLC4A8/SLC16A7/ATP8B4/SLC27A2/STARD5/NMB/ABAT/SLC38A8/NOS2/SLC9A3R1/ABCA7/ATP8B3/RTBDN/RAB3A/SLC25A42/APOE/APOC1/SLC17A7/CPT1C",48
"GO:0008016","BP","GO:0008016","regulation of heart contraction","28/1182","217/20408",5.98904125903088e-05,0.00463152524031721,0.00400791133741074,"ATP1B1/ATP2B4/TGFB2/SLC8A1/DES/KCNE4/ATP2B2/SCN5A/KCNN2/SEMA3A/KCNH2/SLC1A1/JAK2/CACNA1B/KCNQ1/STIM1/ADM/SCN3B/PKP2/FOXN4/ATP2A3/ATP1B2/DSG2/RYR1/SPTBN4/ATP1A3/SLC8A2/TRPM4",28
"GO:1902600","BP","GO:1902600","proton transmembrane transport","23/1182","162/20408",6.13301859404282e-05,0.00466980173577949,0.00404103407606802,"NNT/SLC2A12/ATP6V0A4/CLCN4/ATP6V1H/ATP6V0D2/COX6C/CYC1/MFSD3/SLC2A6/TCIRG1/UCP2/SLC2A13/TESC/ATP12A/C15orf48/NOX5/ATP2C2/ATP2A3/COX10/SLC9A3R1/ATP1A3/SLC17A7",23
"GO:0030534","BP","GO:0030534","adult behavior","21/1182","141/20408",6.24460182761e-05,0.00466980173577949,0.00404103407606802,"KCNJ10/SCN1A/EPHA4/SNCA/SLC7A11/RNF180/GABRG2/NR4A3/GRIN1/CEND1/NRXN2/SHANK2/CUBN/SLITRK5/CHRNA5/HOMER2/ABAT/CHRNB1/EFNB3/SPTBN4/SHANK1",21
"GO:0048167","BP","GO:0048167","regulation of synaptic plasticity","24/1182","173/20408",6.24676213169075e-05,0.00466980173577949,0.00404103407606802,"KCNJ10/EPHA4/NSG1/SNCA/PPP1R9A/SYP/RIMS2/ADGRB1/ARC/GRIN1/SYT7/SHANK2/CPEB3/GRIN2B/ITPKA/CALB2/DLG4/MPP2/UNC13A/RAB3A/APOE/SLC8A2/SHANK1/BRSK1",24
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","27/1182","207/20408",6.67701337901175e-05,0.00493658747406495,0.00427189832265055,"SMPDL3B/ABHD1/HIBCH/IDH1/PECR/MGLL/EHHADH/MGST2/ETFDH/GM2A/ABCD1/FABP5/DECR1/AUH/CRAT/BCO2/PHYH/PCK2/SLC27A2/ECI1/BCO1/SPHK1/ACAA2/PLIN5/APOE/APOC1/CPT1C",27
"GO:0051494","BP","GO:0051494","negative regulation of cytoskeleton organization","21/1182","142/20408",6.93559945653469e-05,0.00507203403734406,0.00438910761946148,"PLEKHH2/ADD2/VIL1/SNCA/APC/SCIN/PPP1R9A/MET/ARFGEF1/TMEM67/SWAP70/ARAP1/SPTB/ARHGAP28/FHOD3/TUBB4A/CAMSAP3/CLIP3/SPTBN4/SHANK1/INPP5J",21
"GO:0106027","BP","GO:0106027","neuron projection organization","15/1182","83/20408",7.4860577374992e-05,0.00535344450449967,0.0046326274413899,"EPHA4/PDLIM5/CTNND2/PPP1R9A/ABCD1/ARC/SHANK2/ZNF365/GRIN2B/ITPKA/DLG4/SRCIN1/ATP1A3/APOE/SHANK1",15
"GO:0019933","BP","GO:0019933","cAMP-mediated signaling","25/1182","186/20408",7.50614033498056e-05,0.00535344450449967,0.0046326274413899,"GPR3/ADGRL2/GPR161/ATP2B4/PDE11A/UCN2/ADCY5/ADCY2/ADGRB3/PCLO/RIMS2/ADGRB1/ABCA1/ADM/PDE3B/PDE2A/PDE3A/ADCY7/ADGRG1/SLC9A3R1/TBXA2R/ADGRE1/ADGRE5/GIPR/ADM2",25
"GO:0045332","BP","GO:0045332","phospholipid translocation","8/1182","26/20408",7.55911456491481e-05,0.00535344450449967,0.0046326274413899,"ATP8A1/ATP10D/ABCB4/ABCB1/ABCA1/ATP8B4/ABCA7/ATP8B3",8
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential","14/1182","74/20408",7.68724693426386e-05,0.0053551271105189,0.00463408349212717,"ATP1B1/SLC8A1/SCN1A/KCNE4/SCN5A/KCNN2/KCNH2/KCNQ1/SCN3B/ANK3/PKP2/DSG2/HCN2/TRPM4",14
"GO:0015662","MF","GO:0015662","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism","9/1182","33/20408",7.74004928082152e-05,0.0053551271105189,0.00463408349212717,"ATP1B1/ATP2B4/ATP2B2/ATP6V0D2/ATP12A/ATP2C2/ATP2A3/ATP1B2/ATP1A3",9
"GO:0005085","MF","GO:0005085","guanyl-nucleotide exchange factor activity","37/1182","327/20408",7.8002743286393e-05,0.0053551271105189,0.00463408349212717,"ARHGEF16/DENND2D/DENND2C/RASGRP3/PSD4/ARHGEF4/ERBB4/FARP2/DOCK3/PLEKHG4B/TRIO/FGFR4/ARFGEF3/MET/NEFL/ARFGEF1/PTK2/DENND3/DOCK8/JAK2/FGD3/RALGPS1/GRIN1/RASGRP2/FGF19/RASGEF1A/GRIN2B/KITLG/SPTB/DLG4/TBXA2R/NRTN/SH2D3A/PCP2/RINL/PLEKHG2/SPTBN4",37
"GO:0023061","BP","GO:0023061","signal release","47/1182","453/20408",8.0295500129587e-05,0.00537034635510701,0.00464725353434146,"SYT11/ILDR2/PFKFB2/ACVR1C/PTPRN/CACNA2D2/STXBP5L/ADCY5/P2RY1/CPLX1/NKX6-1/SPP1/SNCA/SLC25A4/BMP6/ICA1/PCLO/PPP1R9A/SYP/SYTL4/RAB11FIP1/RIMS2/NOV/RFX3/JAK2/CACNA1B/ADM/KCNJ11/SYT13/SYT7/NRXN2/UCP2/CHRNA5/NMB/BAIAP3/ABAT/SYT17/DOC2A/NOS2/UNC13A/RAB3A/GIPR/TRPM4/PRKCG/SYT5/BRSK1/SYNJ1",47
"GO:0008081","MF","GO:0008081","phosphoric diester hydrolase activity","16/1182","93/20408",8.08222372116296e-05,0.00537034635510701,0.00464725353434146,"SMPDL3B/PDE11A/PLCD4/PLCD1/PLCH1/PLD1/PDE6A/PDE3B/PDE2A/PDE3A/GDPD1/PRKAR1A/NOTUM/PLCB4/PDE4C/PDE9A",16
"GO:0008015","BP","GO:0008015","blood circulation","50/1182","492/20408",8.13655994456045e-05,0.00537034635510701,0.00464725353434146,"ATP1B1/ATP2B4/TGFB2/SLC8A1/SCN1A/DES/KCNE4/ATP2B2/SCN5A/P2RY1/VEGFC/F2RL1/KCNN2/SEMA3A/KCNH2/RENBP/NCALD/SLC1A1/JAK2/CACNA1B/KCNQ1/STIM1/ADM/NAV2/PDE2A/PRCP/ARHGAP42/SCN3B/PRKG1/FGFBP3/PDE3A/PKP2/FOXN4/GAS6/ABAT/MYLK3/HSD11B2/CYBA/ATP2A3/NOS2/DSG2/TBXA2R/RYR1/SPTBN4/TGFB1/APOE/SLC8A2/TRPM4/KLK1/ADM2",50
